Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
java,org.apache.commons.collections4.bidimap,ViewMap,36.0,0.0,9.0,3.0,0.0,0.3333333333333333
java,org.apache.commons.collections4.bidimap,UnmodifiableOrderedBidiMap,78.0,78.0,13.0,12.0,1.0,0.9230769230769231
java,org.apache.commons.collections4.bidimap,AbstractDualBidiMap,1155.0,294.0,14.0,14.0,0.9377777777777777,0.078125
java,org.apache.commons.collections4.bidimap,BidiMapIterator,7.0,0.0,1.0,1.0,0.53125,0.0
java,org.apache.commons.collections4.bidimap,EntrySet,3.0,0.0,3.0,3.0,1.5,0.0
java,org.apache.commons.collections4.bidimap,EntrySetIterator,0.0,0.0,1.0,1.0,0.33333333333333326,0.0
java,org.apache.commons.collections4.bidimap,KeySet,6.0,0.0,4.0,4.0,1.3333333333333333,0.0
java,org.apache.commons.collections4.bidimap,KeySetIterator,1.0,0.0,1.0,1.0,0.5,0.0
java,org.apache.commons.collections4.bidimap,MapEntry,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.apache.commons.collections4.bidimap,Values,6.0,0.0,4.0,4.0,1.3333333333333333,0.0
java,org.apache.commons.collections4.bidimap,ValuesIterator,1.0,0.0,1.0,1.0,0.5,0.0
java,org.apache.commons.collections4.bidimap,View,11.0,1.0,3.0,3.0,0.75,0.42857142857142855
java,org.apache.commons.collections4.bidimap,TreeBidiMap,11287.0,10639.0,65.0,30.0,0.9712787212787212,0.1870967741935484
java,org.apache.commons.collections4.bidimap,AbstractView,3.0,3.0,3.0,3.0,1.0,1.0
java,org.apache.commons.collections4.bidimap,AbstractViewIterator,1.0,0.0,1.0,1.0,0.31999999999999995,0.0
java,org.apache.commons.collections4.bidimap,EntryView,6.0,0.0,4.0,4.0,0.0,1.0
java,org.apache.commons.collections4.bidimap,Inverse,253.0,253.0,23.0,20.0,1.0,0.8695652173913043
java,org.apache.commons.collections4.bidimap,InverseEntryView,6.0,0.0,4.0,4.0,0.0,1.0
java,org.apache.commons.collections4.bidimap,InverseViewMapEntryIterator,6.0,0.0,4.0,4.0,0.0,1.0
java,org.apache.commons.collections4.bidimap,InverseViewMapIterator,15.0,0.0,6.0,6.0,0.0,0.8333333333333334
java,org.apache.commons.collections4.bidimap,KeyView,6.0,0.0,4.0,4.0,0.0,0.75
java,org.apache.commons.collections4.bidimap,Node,166.0,122.0,4.0,2.0,0.88125,0.09523809523809523
java,org.apache.commons.collections4.bidimap,ValueView,6.0,0.0,4.0,4.0,0.0,0.75
java,org.apache.commons.collections4.bidimap,ViewMapEntryIterator,3.0,0.0,3.0,3.0,0.0,1.0
java,org.apache.commons.collections4.bidimap,ViewMapIterator,15.0,0.0,6.0,6.0,0.0,0.8333333333333334
java,org.apache.commons.collections4.bidimap,AbstractBidiMapDecorator,21.0,0.0,7.0,2.0,0.0,0.2857142857142857
java,org.apache.commons.collections4.functors,IfTransformer,14.0,7.0,3.0,3.0,0.7916666666666666,0.42857142857142855
java,org.apache.commons.collections4.functors,ExceptionFactory,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,MapTransformer,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,ExceptionClosure,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,TransformerClosure,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,InstantiateFactory,4.0,0.0,2.0,2.0,0.5625,0.4
java,org.apache.commons.collections4.functors,NonePredicate,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java,org.apache.commons.collections4.functors,AbstractPredicate,0.0,0.0,1.0,1.0,0.0,0.0
java,org.apache.commons.collections4.functors,ClosureTransformer,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,IfClosure,21.0,14.0,4.0,3.0,0.8214285714285714,0.375
java,org.apache.commons.collections4.functors,IdentityPredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,PrototypeFactory,11.0,1.0,4.0,4.0,0.7222222222222223,0.42857142857142855
java,org.apache.commons.collections4.functors,PrototypeCloneFactory,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.apache.commons.collections4.functors,PrototypeSerializationFactory,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.apache.commons.collections4.functors,NullIsExceptionPredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,CloneTransformer,3.0,0.0,3.0,3.0,1.0,1.0
java,org.apache.commons.collections4.functors,InvokerTransformer,7.0,4.0,3.0,3.0,0.5,0.6
java,org.apache.commons.collections4.functors,TransformedPredicate,5.0,0.0,2.0,2.0,0.75,0.4
java,org.apache.commons.collections4.functors,WhileClosure,8.0,1.0,2.0,2.0,0.6,0.3333333333333333
java,org.apache.commons.collections4.functors,OrPredicate,3.0,0.0,2.0,2.0,0.6666666666666666,0.5
java,org.apache.commons.collections4.functors,CatchAndRethrowClosure,1.0,0.0,2.0,1.0,0.0,0.0
java,org.apache.commons.collections4.functors,SwitchClosure,21.0,14.0,4.0,4.0,0.8214285714285714,0.5
java,org.apache.commons.collections4.functors,ConstantFactory,3.0,0.0,2.0,2.0,0.888888888888889,0.5
java,org.apache.commons.collections4.functors,ChainedClosure,12.0,9.0,4.0,4.0,0.9,0.6666666666666666
java,org.apache.commons.collections4.functors,AndPredicate,3.0,0.0,2.0,2.0,0.6666666666666666,0.5
java,org.apache.commons.collections4.functors,NOPTransformer,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,ComparatorPredicate,0.0,0.0,1.0,1.0,0.4166666666666667,0.0
java,org.apache.commons.collections4.functors,ExceptionPredicate,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,NullIsFalsePredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,StringValueTransformer,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,ExceptionTransformer,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,NotNullPredicate,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,NotPredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,ForClosure,5.0,0.0,2.0,2.0,0.5,0.4
java,org.apache.commons.collections4.functors,ChainedTransformer,12.0,9.0,4.0,4.0,0.9333333333333333,0.6666666666666666
java,org.apache.commons.collections4.functors,NullPredicate,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,TruePredicate,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,EqualPredicate,10.0,5.0,3.0,3.0,0.8,0.5
java,org.apache.commons.collections4.functors,FunctorUtils,45.0,0.0,10.0,10.0,0.0,1.0
java,org.apache.commons.collections4.functors,FactoryTransformer,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,NOPClosure,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,TransformerPredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,FalsePredicate,6.0,0.0,4.0,4.0,1.0,0.75
java,org.apache.commons.collections4.functors,AbstractQuantifierPredicate,0.0,0.0,1.0,1.0,1.0,0.0
java,org.apache.commons.collections4.functors,OnePredicate,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java,org.apache.commons.collections4.functors,AllPredicate,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java,org.apache.commons.collections4.functors,NullIsTruePredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,UniquePredicate,3.0,3.0,3.0,3.0,1.25,1.0
java,org.apache.commons.collections4.functors,ConstantTransformer,18.0,15.0,5.0,2.0,0.9444444444444445,0.2857142857142857
java,org.apache.commons.collections4.functors,InstantiateTransformer,7.0,4.0,3.0,3.0,0.6666666666666666,0.6
java,org.apache.commons.collections4.functors,SwitchTransformer,21.0,14.0,4.0,4.0,0.8214285714285714,0.5
java,org.apache.commons.collections4.functors,InstanceofPredicate,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,PredicateDecorator,0.0,0.0,1.0,1.0,0.0,-1.0
java,org.apache.commons.collections4.functors,DefaultEquator,10.0,0.0,5.0,5.0,1.0,0.8
java,org.apache.commons.collections4.functors,PredicateTransformer,3.0,0.0,2.0,2.0,0.8333333333333334,0.5
java,org.apache.commons.collections4.functors,AnyPredicate,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java,org.apache.commons.collections4.bloomfilter,WrappedBloomFilter,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.apache.commons.collections4.bloomfilter,IndexFilter,16.0,11.0,3.0,3.0,0.8333333333333334,0.42857142857142855
java,org.apache.commons.collections4.bloomfilter,ArrayTracker,0.0,0.0,1.0,1.0,0.5,0.0
java,org.apache.commons.collections4.bloomfilter,BitMapTracker,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.apache.commons.collections4.bloomfilter,IndexExtractor,62.0,58.0,9.0,7.0,0.8484848484848485,-1.0
